Nom Expéditeur;Code Type Segment;N° Tiers Arrêt;N° Position;Référence externe N° Bon Livraison;N° Destinataire;Nom Destinataire;Nom Sous-Traitant;Nom du Chauffeur Sous-Traitant;Enseigne Destinataire;Domaine d'activité livraison;Date d'enlèvement;N° de semaine d'enlèvement;N° de mois d'enlèvement;Mois d'enlèvement;Année d'enlèvement;Date/Heure d'Arrivée sur l'Arrêt;Ordre de Saisie;Source Horaire;Type de Date;Date/Heure réelle;Date/Heure de la saisie
ALLIANCE OCEANE ET CHARCUTIERE;LI;62C236;76T268N94368;20018797;62C236;BANQUE ALIMENTAIRE;GT NORD;ALINE;AUCUNE ENSEIGNE;STEF Transport LILLE;2026-02-26 00:00:00;9;2;Février;2026;2026-02-27 08:35:00;1;MTRACK;Fin d'opération;2026-02-27 09:23:00;2026-02-27 09:23:22
ALLIANCE OCEANE ET CHARCUTIERE;LI;62C236;76T268N94368;20018797;62C236;BANQUE ALIMENTAIRE;GT NORD;ALINE;AUCUNE ENSEIGNE;STEF Transport LILLE;2026-02-26 00:00:00;9;2;Février;2026;2026-02-27 08:35:00;1;MTRACK Affretes;Arrivée;2026-02-27 09:15:00;2026-02-27 09:15:17
ALLIANCE OCEANE ET CHARCUTIERE;LI;62C236;76T268N94368;20018797;62C236;BANQUE ALIMENTAIRE;GT NORD;ALINE;AUCUNE ENSEIGNE;STEF Transport LILLE;2026-02-26 00:00:00;9;2;Février;2026;2026-02-27 08:35:00;1;MTRACK Affretes;Début d'opération;2026-02-27 09:20:00;2026-02-27 09:20:17
ALLIANCE OCEANE ET CHARCUTIERE;LI;62C236;76T268N94368;20018797;62C236;BANQUE ALIMENTAIRE;GT NORD;ALINE;AUCUNE ENSEIGNE;STEF Transport LILLE;2026-02-26 00:00:00;9;2;Février;2026;2026-02-27 08:35:00;1;MTRACK Affretes;Départ;2026-02-27 09:23:00;2026-02-27 09:23:22
FRIESLANDCAMPINA BELGIUM NV;LI;679569;76T268N91093;815090662;EB9493;PF LIDL 06H/12H ALCALA DE HENARES;MACSPED SP. Z O.O.;;PLATEFORMES LIDL;STEF LOGISTICS TUBIZE;2026-02-23 00:00:00;9;2;Février;2026;2026-02-24 12:00:00;1;SAISIE MANUELLE SCOP;Arrivée;2026-02-24 12:00:00;2026-02-25 18:12:05
FRIESLANDCAMPINA BELGIUM NV;LI;679569;76T268N91093;815090662;EB9493;PF LIDL 06H/12H ALCALA DE HENARES;MACSPED SP. Z O.O.;;PLATEFORMES LIDL;STEF LOGISTICS TUBIZE;2026-02-23 00:00:00;9;2;Février;2026;2026-02-24 12:00:00;1;SAISIE MANUELLE SCOP;Départ;2026-02-24 12:00:00;2026-02-25 18:12:05
FRIESLANDCAMPINA BELGIUM NV;LI;679569;76T268N91094;815090661;EE0852;PF LIDL 06H/12H CHESTE;MACSPED SP. Z O.O.;;PLATEFORMES LIDL;STEF LOGISTICS TUBIZE;2026-02-23 00:00:00;9;2;Février;2026;2026-02-24 12:00:00;1;SAISIE MANUELLE SCOP;Arrivée;2026-02-24 12:00:00;2026-02-25 18:12:05
FRIESLANDCAMPINA BELGIUM NV;LI;679569;76T268N91094;815090661;EE0852;PF LIDL 06H/12H CHESTE;MACSPED SP. Z O.O.;;PLATEFORMES LIDL;STEF LOGISTICS TUBIZE;2026-02-23 00:00:00;9;2;Février;2026;2026-02-24 12:00:00;1;SAISIE MANUELLE SCOP;Départ;2026-02-24 12:00:00;2026-02-25 18:12:05
FRIESLANDCAMPINA BELGIUM NV;LI;679569;76T268N91095;815090674;E18525;LIDL SUPERMERCADOS;MACSPED SP. Z O.O.;;LIDL;STEF LOGISTICS TUBIZE;2026-02-23 00:00:00;9;2;Février;2026;2026-02-24 12:00:00;1;SAISIE MANUELLE SCOP;Arrivée;2026-02-24 12:00:00;2026-02-25 18:12:05
FRIESLANDCAMPINA BELGIUM NV;LI;679569;76T268N91095;815090674;E18525;LIDL SUPERMERCADOS;MACSPED SP. Z O.O.;;LIDL;STEF LOGISTICS TUBIZE;2026-02-23 00:00:00;9;2;Février;2026;2026-02-24 12:00:00;1;SAISIE MANUELLE SCOP;Départ;2026-02-24 12:00:00;2026-02-25 18:12:05
